id,name,definition,synonyms
HP:0000829,Hypoparathyroidism,A condition caused by a deficiency of parathyroid hormone characterized by hypocalcemia and hyperphosphatemia.,"['Decreased parathyroid hormone secretion', 'Low parathyroid hormone']"
HP:0000830,Anterior hypopituitarism,"A condition of reduced function of the anterior pituitary gland characterized by decreased secretion of one or more of the pituitary hormones growth hormone, thyroid-stimulating hormone, adrenocorticotropic hormone, prolactin, luteinizing hormone, and follicle-stimulating hormone.",[]
HP:0000831,Insulin-resistant diabetes mellitus,"A type of diabetes mellitus related not to lack of insulin but rather to lack of response to insulin on the part of the target tissues of insulin such as muscle, fat, and liver cells. This type of diabetes is typically associated with increases both in blood glucose concentrations as well as in fasting and postprandial serum insulin levels.","['Insulin-resistant diabetes', 'Insulin resistant diabetes mellitus', 'Insulin resistant diabetes']"
HP:0000832,Primary hypothyroidism,A type of hypothyroidism that results from a defect in the thyroid gland.,[]
HP:0000833,obsolete Glucose intolerance,,[]
HP:0000834,Abnormality of the adrenal glands,"Abnormality of the adrenal glands, i.e., of the endocrine glands located at the top of the kindneys.","['Adrenal abnormalities', 'Adrenal gland disease']"
HP:0000835,Adrenal hypoplasia,Developmental hypoplasia of the adrenal glands.,"['Underdeveloped adrenal glands', 'Adrenal gland hypoplasia', 'Small adrenal glands', 'Hypoplastic adrenal glands']"
HP:0000836,Hyperthyroidism,"An abnormality of thyroid physiology characterized by excessive secretion of the thyroid hormones thyroxine (i.e., T4) and/or 3,3',5-triiodo-L-thyronine zwitterion (i.e., triiodothyronine or T3).",['Overactive thyroid']
HP:0000837,Increased circulating gonadotropin level,"Overproduction of gonadotropins (FSH, LH) by the anterior pituitary gland.","['Elevated gonadotropins', 'Gonadotropin excess', 'Increased circulating gonadotropin level', 'Elevated serum gonadotropins']"
HP:0000839,Pituitary dwarfism,"A type of reduced stature with normal proportions related to dysfunction of the pituitary gland related to either an isolated defect in the secretion of growth hormone or to panhypopituitarism, i.e., a deficit of all the anterior pituitary hormones.",[]
HP:0000840,Adrenogenital syndrome,"Adrenogenital syndrome is also known as congenital adrenal hyperplasia, which results from disorders of steroid hormone production in the adrenal glands leading to a deficiency of cortisol. The pituitary gland reacts by increased secretion of corticotropin, which in turn causes the adrenal glands to overproduce certain intermediary hormones which have testosterone-like effects.",[]
HP:0000841,Hyperactive renin-angiotensin system,"An abnormally increased activity of the renin-angiotensin system, causing hypertension by a combination of volume excess and vasoconstrictor mechanisms.",['Increased plasma renin activity']
HP:0000842,Hyperinsulinemia,An increased concentration of insulin in the blood.,['Elevated insulin level']
HP:0000843,Hyperparathyroidism,Excessive production of parathyroid hormone (PTH) by the parathyroid glands.,['Elevated blood parathyroid hormone level']
HP:0000845,Elevated circulating growth hormone concentration,"Acromegaly is a condition resulting from overproduction of growth hormone by the pituitary gland in persons with closed epiphyses, and consists chiefly in the enlargement of the distal parts of the body. The circumference of the skull increases, the nose becomes broad, the tongue becomes enlarged, the facial features become coarsened, the mandible grows excessively, and the teeth become separated. The fingers and toes grow chiefly in thickness.","['Elevated circulating somatotropin concentration', 'Somatotropin excess', 'Growth hormone excess']"
HP:0000846,Adrenal insufficiency,Insufficient production of steroid hormones (primarily cortisol) by the adrenal glands.,['Hypoadrenalism']
HP:0000847,Abnormality of renin-angiotensin system,An abnormality of the renin-angiotensin system.,['Abnormality of the renin-aldosterone axis']
HP:0000848,Increased circulating renin concentration,An increased level of renin in the blood.,"['Increased plasma renin', 'Elevated plasma renin', 'Increased circulating renin level', 'Elevated blood renin level', 'Increased serum renin', 'Hyperreninemia']"
HP:0000849,Adrenocortical abnormality,,[]
HP:0000851,Congenital hypothyroidism,A type of hypothyroidism with congenital onset.,"['Underactive thyroid gland from birth', 'Hypothyroidism, congenital']"
HP:0000852,Pseudohypoparathyroidism,"A condition characterized by resistance to the action of parathyroid hormone, in which there is hypocalcemia, hyperphosphatemia, and (appropriately) high levels of parathyroid hormone.",[]
HP:0000853,Goiter,An enlargement of the thyroid gland.,"['Thyroid goiter', 'Thyroid goitre', 'Enlarged thyroid gland in neck', 'Goitre']"
HP:0000854,Thyroid adenoma,The presence of a adenoma of the thyroid gland.,[]
HP:0000855,Insulin resistance,"Increased resistance towards insulin, that is, diminished effectiveness of insulin in reducing blood glucose levels.",['Body fails to respond to insulin']
HP:0000857,Neonatal insulin-dependent diabetes mellitus,,[]
HP:0000858,Irregular menstruation,Abnormally high variation in the amount of time between periods.,"['Menstrual irregularities', 'Irregular periods', 'Irregular menses', 'Menstrual irregularity']"
HP:0000859,Increased circulating aldosterone concentration,Overproduction of the mineralocorticoid aldosterone by the adrenal cortex.,"['Elevated plasma aldosterone', 'Increased aldosterone production', 'Hyperaldosteronism', 'Mineralocorticoid excess', 'Increased aldosterone']"
HP:0000860,Parathyroid hypoplasia,Developmental hypoplasia of the parathyroid gland.,"['Small parathyroid glands', 'Underdeveloped parathyroid glands']"
HP:0000863,Central diabetes insipidus,A form of diabetes insipidus related to a failure of vasopressin (AVP) release from the hypothalamus.,['Neurohypophyseal diabetes insipidus']
HP:0000864,Abnormality of the hypothalamus-pituitary axis,"Abnormality of the pituitary gland (also known as hypophysis), which is an endocrine gland that protrudes from the bottom of the hypothalamus at the base of the brain. The pituitary gland secretes the hormones ACTH, TSH, PRL, GH, endorphins, FSH, LH, oxytocin, and antidiuretic hormone. The secretion of hormones from the anterior pituitary is under the strict control of hypothalamic hormones, and the posterior pituitary is essentially an extension of the hypothalamus, so that hypothalamus and pituitary gland may be regarded as a functional unit.",[]
HP:0000866,Euthyroid multinodular goiter,,['Euthyroid multinodular goitre']
HP:0000867,Secondary hyperparathyroidism,Secondary hyperparathyroidism refers to the production of higher than normal levels of parathyroid hormone in the presence of hypocalcemia.,[]
HP:0000868,Decreased fertility in females,,"['Decreased fertility in females', 'Reduced fertility in females']"
HP:0000869,Secondary amenorrhea,,['Previous menstrual periods stop']
HP:0000870,Increased circulating prolactin concentration,The presence of abnormally increased levels of prolactin in the blood. Prolactin is a peptide hormone produced by the anterior pituitary gland that plays a role in breast development and lactation during pregnancy.,"['Hyperprolactinaemia', 'Prolactin excess', 'Hyperprolactinemia']"
HP:0000871,Panhypopituitarism,"A pituitary functional deficit affecting all the anterior pituitary hormones (growth hormone, thyroid-stimulating hormone, follicle-stimulating hormone, luteinizing hormone, adrenocorticotropic hormone, and prolactin).",[]
HP:0000872,Hashimoto thyroiditis,"A chronic, autoimmune type of thyroiditis associated with hypothyroidism.","['Chronic lymphocytic thyroiditis', ""Hashimoto's thyroiditis""]"
HP:0000873,Diabetes insipidus,A state of excessive water intake and hypotonic (dilute) polyuria. Diabetes insipidus may be due to failure of vasopressin (AVP) release (central or neurogenic diabetes insipidus) or to a failure of the kidney to respond to AVP (nephrogenic diabetes insipidus).,[]
HP:0000875,Episodic hypertension,,['Intermittent high blood pressure']
HP:0000876,Oligomenorrhea,Infrequent menses (less than 6 per year or more than 35 days between cycles).,['Light or infrequent menstrual periods']
HP:0000877,Insulin-resistant diabetes mellitus at puberty,,['Insulin-resistant diabetes mellitus at puberty']
HP:0000878,11 pairs of ribs,Presence of only 11 pairs of ribs.,['11 pairs of ribs']
HP:0000879,Short sternum,Decreased inferosuperior length of the sternum.,"['Hypoplastic sternum', 'Short sternum']"
HP:0000882,Hypoplastic scapulae,Underdeveloped scapula.,"['Small scapula', 'Hypoplastic scapula', 'Small shoulder blade', 'Small scapulae', 'Short scapulae', 'Scapular hypoplasia']"
